English,Gothic
-- false god,got. ga-liug-a-gu-þ* 7=6
-- false prophet,"got. ga-liug-a-praú-fÐ-t-u-s* 2, liug-n-a-prau-fÐtu-s* 1"
-- false witness,got. ga-liug-a-wei-t-wæþ-s* 3
-- something false,"got. ga-liug* 9, *liug?"
falsehood,got. liug-n* 3
-- teller of falsehoods,got. liug-n-j-a 4
false-speaking,got. liug-n-a-waúr-d-s* 1
falsification,"got. ga-liug* 9, *liug?"
falsify,"got. laug-n-jan* 4, mai-d-jan* 1"
falsity,"got. ga-liug* 9, *liug?"
falsely -- swear falsely,got. uf-ar-swar-an* 1
-- speak falsely,got. liug-an* (2) 6
falter -- make falter,"got. ga-mar-z-jan* 8, mar-z-jan* 5"
fame (N.),"got. *hræ-m-s?, mÐ-r-iþ-a 4, *raus (2)"
famed,got. *mÐ-r-ei-s
familial -- familial adoption,got. frast-i-si-b-j-a 1
familiar,got. *drð-þ-s?
family,"got. fa-dr-ein-s* (1) 1?, gar-d-s 94, *hei-w-isk-i?"
-- master of the family,got. hei-w-a-frau-j-a* 1
famine,got. hðh-ru-s 4
famous,got. *hlu-þfan (N.) -- winnowing fan
fan (V.),got. *wi-nþ-jan?
far -- far off,got. faír-ra 20
fare -- good fare,got. waíl-a-wizn-s* 1
farewell -- bid (V.) farewell,got. twi-s-sta-n-d-an* 2=1
farm property,got. hug-s* (2) 1
farmer,got. waúr-st-w-j-a 23
-- tenant farmer,got. aúrt-j-a* 4
farmland,"got. land* 11, þaúr-p* 1"
farther,got. fra-m 185=183
-- farther beyond,got. fra-m-is 2
farthest,got. hi-n-d-um-ist-s* 1
fashion (N.),got. hai-d-u-s* 4
fast (Adj.),"got. *adr-s, *fast-s, *snil-l-s, *sniu-m-s?, *þra-s?"
-- standing fast,"got. *ga-stæ-þ-s?, *stæ-þ-s?"
-- holding fast,got. and-a-nÐm-eig-s 1
-- holding fast to,got. fast-ubn-i* 6
fast (Adv.),got. s-prau-t-æ 13
-- hold fast,"got. fast-an 45, ga-fast-an 11, ga-hab-an 11"
fast (N.),got. *fast-a
fast (V.),got. fast-an 45
fasten -- fasten together,got. ga-ga-haf-t-jan* 1
fastened -- fastened together,got. *ga-haf-t-s?
fasting (Adj.),got. lau-s-qi-þ-r-s* 1
fasting (N.),"got. fast-ubn-i* 6, lau-s-qi-þ-r-ei* 2"
fat (Adj.) -- become fat,got. *þiq-jan?
fat (N.) (2),"got. *fat-a, *feus-a?"
father (N.),"got. abb-a 1, att-a 241=240, fa-dar* 1"
father-in-law,got. swaíhr-a 1
fatigue (V.),got. af-mæ-jan*
fatigued,"got. af-máu-iþ-s* 2=1, *mau-iþ-s?"
fatness,got. smaír-þr* 1
fatten,got. al-jan* (1) 3
fattened,got. al-iþ-s*
fattiness,got. smaír-þr* 1
fault -- find fault,got. fái-an* 1
favour (N.),got. an-st-s 68=65
-- ask a favour,got. bid-jan 134=133
fear (N.),"got. ag-i-s 20, faúrh-t-ei* 2"
-- have fear,got. æg-an* 43
-- inspire fear in,got. in-ag-jan* 1
-- make fear,got. æg-jan 1
-- put in a state of fear,got. in-ag-jan* 1
fear (V.),got. æg-an* 43
fearful,"got. *ag-an-d-s?, *ag-s?"
-- fearful of,got. faúrh-t-s* 2
fearfulness,got. faúrh-t-ei* 2
fearless,"got. un-ag-an-d-s 3=2, *un-ag-s?"
fearlessness,"got. bal-þ-ei* 6, un-ag-ei* 1"
feasibly,got. i-ba-i 69
feast (N.),"got. daúht-s* 2, wis-an (3) 4"
-- feast of tent-pitching,got. hle-þ-r-a-stak-ein-s 1
-- feast of the »Dedication«,got. in-niu-j-iþ-a 1
-- hold a feast,got. dulþ-jan* 1
feasting -- eat up in feasting,got. fra-wi-s-an* 1
features -- facial features,got. lud-ja* 1
febrile,got. *hei-t-s
feeble,"got. la-s-iw-s 2, siuk-s 21"
-- be feeble,got. siuk-an 9
feebleness,got. siuk-ei 7=6
feed (V.),"got. fæ-d-jan* 5, mat-jan 93"
-- feed on,got. al-an* 1
-- feed trough,got. uz-Ðt-a* 3
feeding (N.),got. fæ-d-ein-s* 2
feel happy,got. fag-in-æn 43=39
feel happy together with,got. mi-þ-fag-in-æn* 2
feel hostile toward,got. hat-an* 2
feel hostile towards,got. fi-j-an 23
feeling -- communal feeling,got. ga-mai-n-ei* 2
feign,got. *lit-jan?
-- feign together with,got. mi-þ-lit-jan* 1
feignedness,got. hi-n-dar-wei-s-ei* 1
feigning,"got. hi-n-dar-wei-s* 1, lit-a* 1"
fell (V.),got. ga-drau-s-jan* 3
fellow countryman,got. in-kun-j-a* 1
fellow heir,got. ga-arb-j-a* 1
fellow man,got. ga-man 4
fellow servant,got. ga-skal-k-i 2
fellow townsman,got. ga-baúr-g-j-a* 2=1
fellow traveller,"got. ga-sinþ-a* 1, ga-sinþ-j-a* 1"
fellow worker,got. ga-waúr-st-w-a 9
fellowman,got. nÐ¸-und-j-a 10
fellowship,"got. ga-mai-n-dð-þ-s 6, ga-mai-n-ei* 2"
felon,got. wai-dÐ-d-j-a 9
felony,got. *wai-dÐ-þ-s?
felt,got. *fil-t-ur?
female (Adj.),"got. qin-a-kun-d-s* 1, qin-ein-s* 1"
-- of female sex,got. qin-a-kun-d-s* 1
female (F.),"got. qin-ein* 1, qin-æ 42"
-- female being,got. qin-ein* 1
-- female blood-relative,got. niþ-j-æ 1
-- female demon,got. un-hul-þ-æ 39
-- female doorkeeper,"got. daúr-a-war-d-a* 1, daúr-a-war-d-æ 1"
-- female driver,got. *far-a?
-- female friend,got. fri-j-æn-d-i* 1
-- female Goth,got. *Gu-t-æ?
-- female neighbour,got. ga-ra-z-n-æ* 1
-- female yoke-fellow,got. ga-ju-k-æ* (1) 1
-- female yoke-mate,got. ga-ju-k-æ* (1) 1
fence (N.),got. faþ-a* 4
fence (N.)?,got. *tðnfence in
fermented,got. *bei-st-j-æþ-s?
-- fermented beverage,got. lei-þ-u* 1
fermentedness,got. *bei-st-ei?
festival,got. dulþ-s 17
-- celebrate a festival,got. dulþ-jan* 1
festive -- festive banquet,got. ga-baúr* (2) 2
-- have a festive get-together,got. bi-wi-s-an* 1
festivities -- hold festivities,got. dulþ-jan* 1
fetid,got. fð-l-s 1
fetter (N.),got. kuna-wi-d-a* 1
fetter,"got. band-i 7, nau-d-i-band-i* 4"
fever (N.),"got. bri-n-n-æ 4, hei-t-æ 2"
few,got. fau-s* 7
fewer,got. mi-n-s 4
fianceé,got. *snuz-æ 1
fidelity -- promising fidelity,got. *trau-st-s?
field,"got. ak-r-s 6, *ful-þ?, hug-s* (2) 1"
-- of the open field,got. haiþ-i-wisk-s* 1
fierce,got. slei-þ-s* 2
fiery,got. fun-isk-s* 1
fifteen,got. fimf-taí-hun* 1
fifteenth,got. fimf-t-a-taí-hun-d-a* 1
fifth,got. *fimf-t-a
fifty,got. *fimf-tig-ju-s
fig (1),got. smak-k-a* 3
fight (N.),"got. *bad-u-, *gun-þ-i?, *gun-þ-s?, *ha-þu-s?, *hil-d-i?, *hil-d-s?, jiuka* 2, *weig-s"
fight (V.),"got. brik-an* 3, haif-st-jan 4, jiuk-an* 2"
-- fight in opposition to,got. and-weih-an* 2
fighter,got. *spadingus
fighting -- succeed in fighting,got. ga-jiuk-an* 4
fig-tree,got. smak-k-a-bagm-s 5
figure (N.) -- figure of speech,got. ga-ju-k-æ (2) 30
-- moulded figure,got. ga-dig-is 1
figure (V.) -- figure out,got. rah-n-jan* 14
fill (V.),"got. ful-l-jan* 3, ga-ful-l-jan* 5"
-- fill completely,got. us-ful-l-jan 34=33
-- fill to superabundance,got. uf-ar-ful-l-jan* 2
-- fill up,got. us-ful-l-jan 34=33
filled,got. ful-l-s 13
-- filled to overflowing,got. uf-ar-ful-l-s* 1
-- be filled,got. ful-l-n-an* 5
-- be filled up,"got. ga-ful-l-n-an* 4, us-ful-l-n-an* 19"
-- become filled,got. ful-l-n-an* 5
-- become filled up,"got. ga-ful-l-n-an* 4, us-ful-l-n-an* 19"
filling (N.),got. *ful-l-ein-s?
filling,got. ful-l-æ 10
filthy talk,got. ag-l-ait-i-wáur-d-ei* 2
final (Adj.),got. af-t-u-m-ist-s 5
financial -- financial avidity,got. faíh-u-gei-r-æ 3
-- financial commitment,got. wad-i 4
-- financial exploitation,got. bi-faih-æn-s* 1
-- certificate of financial commitment,got. wad-j-a-bæk-æs* 1
financially -- exploit s.o. financially,got. bi-faih-æn* 3
find (V.),"got. bi-git-an 66, *git-an"
-- find admission,"got. ga-mæt-an* 3, *mæt-an"
-- find concord to,got. ga-ga-waírþ-n-an 1
-- find fault,got. fái-an* 1
-- find out,"got. fi-n-þ-an* 5, uf-kun-n-an 48=47"
-- find out by inquiry,got. ga-fraíh-n-an* 2
-- find out by investigation,got. us-sæk-jan* 8
-- find room,got. ga-mæt-an* 3
fine (Adj.) -- fine apparel,got. ga-fÐt-ein-s* 1
-- fine linen,"got. bwssaún, saban* 1"
-- fine sustenance,got. waíl-a-wizn-s* 1
finger,got. figg-r-s* 1
»finger gold«,got. figg-r-a-gul-þ* 1
finger ring,got. figg-r-a-gul-þ* 1
finish (V.),got. us-tiu-h-an 51=50
finish preparing beforehand,got. faúr-a-ga-manw-jan* 3
Finnahaithi -- inhabitants of Finnahaithi,got. *Finn-haiþ-a-s
fire (N.),"got. *ai-d-s?, *blÐ-s-i, *bran-d-a?, *bran-d-s (1), *bru-n-st-s, fæn 20"
-- catch fire,got. tund-n-an* 1
-- consume by fire,"got. ga-bran-n-jan* 3, in-tand-jan* 1"
-- light a fire,got. *qaiw-jan
-- set on fire,got. in-bran-n-jan* 1
firm (Adj.) (1),"got. *fast-s , tul-g-u-s 2"
-- hold firm,got. fast-an 45
-- make firm,"got. ga-tul-g-jan 10, ga-þwa-st-jan* 5=4, tul-g-jan 3, *þwa-st-jan?"
firm (V.) -- firm up,got. ga-þwa-st-jan* 5=4
firmly,got. triggw-a-ba 2
-- fix firmly,got. ga-tul-g-jan 10
firmness,got. tul-g-iþ-a 3
first,"got. fru-m-a 18, *fru-m-a-þ-ei-s, fru-m-ist-s 19"
-- first fruit,got. uf-ar-skaf-t-s 1
-- first of all,got. fru-m-ist 14
-- at first,got. fru-m-ist 14
first-born (M.),got. fru-m-a-baúr 3
firstly,got. fru-m-ist 14
fish (N.),got. fisk-s* 14
-- a sort of fish,got. *ask-a?
fish (V.),got. fisk-æn 1
fisher,"got. fisk-j-a* 2, nut-a* 2"
fisherman,got. fisk-j-a* 2
fishing (N.) -- go fishing,got. fisk-æn 1
fishing-net,got. nat-i* 7
fist -- strike with the fist,got. kaupat-jan 4
fit (Adj.),got. ga-til-s 2
-- fit in with,"got. ga-tim-an* 1, *tim-an?"
-- fit together,got. ga-ga-til-æn* 2
-- make o.s. fit to,got. and-til-æn* 2
fitness -- of appropriate fitness,got. waír-þ-s (1) 28
fitting (Adj.),"got. fag-r-s* 1, ga-dæf-s* 6, *til-a-malsk-s, til-s* 1"
fittingly,got. ga-til-a-ba 1
fittingness,got. waír-þ-ida 3
five,got. fimf 23
five hundred,got. fimf-hund-a*
five thousand,got. *fimf-þðs-un-j-æ-s?
fix (V.),got. tul-g-jan 3
-- fix firmly,got. ga-tul-g-jan 10
-- fix with stakes,got. *stak-jan?
fixed,got. tul-g-u-s 2
fixed time,got. ga-rÐh-sn-s 11
fixity,got. tul-g-iþ-a 3
flag (N.),got. *þu-f-az?
flagellate,got. *wu-n-d-æn
flambeau,got. hai-s* 1
flame,got. *bla-s?
-- become consumed with flame,got. in-tund-n-an 1
flaming,got. fun-isk-s* 1
flash like lightning,got. lauh-at-jan* 1
flat (Adj.),got. ibn-s* 1
flaw,got. wam-m* 1
-- furnish with a flaw,got. an-a-wam-m-jan* 1
flawed,got. *wam-m-s
flawless,got. un-wam-m-s* 4
flawlessness,got. un-wam-m-ei* 1
flawness,got. *wam-m-ei?
flaxen cloth,got. lein* 4
flee (V.),got. ga-þli-u-h-an* 6
flee,got. þli-u-h-an 6
-- flee off,got. af-þli-u-h-an* 1
fleeing (N.),got. þla-ú-h-s 1
flesh (N.),"got. leik (1) 173=171, mam-m-æ* 1"
-- edible flesh,got. mimz* 2
fleshliness,got. mam-m-æ* 1
fleshly,got. leik-ein-s 6
-- fleshly body,got. leik (1) 173=171
flicker (N.),got. bra¸* 2=1
flight (N),got. þla-ú-h-s 1
-- take flight,"got. ga-þli-u-h-an* 6, þli-u-h-an 6"
-- run away in flight,got. af-þli-u-h-an* 1
fling (V.),got. ga-waír-p-an 3
flock (N.),got. haírd-a 8
-- flock of sheep,got. aw-Ðþ-i 3
flog (V.),"got. bli-gg-w-an* 6, us-bli-ggw-an* 7"
flood (N.),"got. flæ-du-s 1, ga-ru-n-j-æ* 1, mid-ja-swei-p-ain-s 1"
floor -- threshing floor,got. ga-þra-sk* 1
floorboard,got. *þil-j-æ
flounder -- flounder around,got. wal-wis-æn* 1
flow (N.),"got. *ru-n-j-æ?, ru-n-s (1) 5"
flow (V.) -- let flow,got. giu-t-an* 6
flower (N.),got. blæ-m-a* 1
flowing -- flowing body of water,got. a¸-a 7
fluctuate -- make fluctuate away from,got. af-wag-jan* 1
flume,got. ri-n-n-æ* 1
flush (V.),got. *ga-riud-an?
flute (N.),got. *swigl
-- play the flute,got. swigl-æn* 2
flute-player,got. swigl-j-a* 1
flutist,got. swigl-j-a* 1
flux,"got. *ru-n-j-æ?, ru-n-s (1) 5"
flying -- flying ashes,got. *fal-wisk-a?
foal,got. fu-l-a* 10
foam (N.),"got. ¸aþ-æ* 1, *skð-m-s"
foam (V.),got. ¸aþ-jan* 2
foe,got. fi-j-a-n-d-s 22=20
fold (N.),"got. *fal-d-a?, gar-d-a* 1"
fold (V.),got. fal-þ-an* 1
-- fold up,got. fal-þ-an* 1
...fold,"got. fal-þ 1, *fal-þ-a-ba?, *-fal-þ-s?"
foliage,got. lau-f-s* (1) 3
follow,"got. af-ar-ga-g-g-a-n 7, af-ar-lais-t-jan* 6, ga-lais-t-jan* 3, lais-t-jan 49"
-- follow after,got. af-ar-lais-t-jan* 6
follower,"got. ga-lais-t-a 4=3, sipæn-ei-s 131"
following,got. af-ar 77
folly,got. dwa-l-iþ-a 4
food,"got. fæ-d-ein-s* 2, mat-s 18, us-fæ-d-ein-s* 1, *wiz-n-s?"
-- food particles,got. draúhsn-a* 4
-- good food,got. waíl-a-wizn-s* 1
-- abstain from food,got. fast-an 45
-- dispense as food,got. fra-at-jan* 1
-- withhold o.s. from food,got. fast-an 45
-- provide with food,got. *us-fæ-d-jan?
food-bag,got. mat-i-bal-g-s* 3
fool (M.),"got. raka (3) 1, un-wi-t-a 6"
foolish,"got. dwa-l-s* 6, *mal-sk-s?, telich 1, un-fraþ-jan-d-s* 1, un-nut-s* 1"
-- foolish talking,"got. dwa-l-a-waúr-d-ei 1, *dwa-l-a-waúr-d-s"
foolishness,"got. dwa-l-a-waúr-d-ei 1, dwa-l-iþ-a 4, un-fræd-ei* 4, un-wi-t-i 3"
foot,got. fæt-u-s 41
-- spring to one's feet,got. us-hlaup-an* 1
foot shackle,got. fæt-u-band-i* 1
foot soldier,got. *fanþ-j-a?
foot-bonds,got. fæt-u-band-i* 1
footpath,got. staig-a* 3
footprint,got. lais-t-s* 3
foot-sheathing thong,got. skau-d-a-rai-p* 3
footstool,got. fæt-u-baðr-d 3
for,"got. al-l-is 27, auk 286=285, faúr 79=78, in 1792, þatei 370, un-tÐ 386=383"
-- what for,got. du-¸Ð 35
for...,"got. *faír-, *fraforbearance"
forbid,"got. faúr-biud-an* 7, war-jan* 9"
force (N.),got. nau-þ-s 11=10
-- superior force,got. an-a-mah-t-s* 2
-- have force,got. ga-mag-an* 1
-- use force on,got. an-a-mah-t-jan* 8
-- use of force on,got. an-a-mah-t-s* 2
force (V.),"got. an-a-mah-t-jan* 8, an-a-nau-þ-jan* 1, *an-a-t-jan?, an-e-tiare mlat.got., baid-jan* 2, ga-baid-jan* 1, nau-þ-jan* 4"
forcibly -- remove forcibly,got. ga-tar-n-jan* 1
forcing,got. an-a-mah-t-s* 2
ford (N.),got. *wadfore-court
foredawn,got. ð-h-t-w-æ* 1
forefathers,got. fa-dr-ein 14
»fore-goer«,got. faúr-a-ga-g-g-a* 1
foregoing,got. faír-n-s* 2
foreign,"got. al-ja-kun-s 3, fra-m-aþ-ei-s* 9, *walh-s?"
foreign?,got. *wal-a- (1)
foreigner,got. barbaru-s 1
foremost,got. fru-m-ist-s 19
foresight -- prepare out of foresight,got. bi-saí¸-an* 5
foreskin,"got. faúr-a-fil-l-i 7=6, un-bi-mai-t* 1"
forest,got. *wal-d-u-s
fore-standing (N.),got. *faur-sta-s-s?
foreswear,got. af-qiþ-an* 1
foretell,got. faúr-a-ga-hai-t-an* 1
-- foretell the future,got. faur-a-qiþ-an* 9=8
forethought -- take forethought for,got. ga-rÐ-d-an* 1
foretoken -- magic foretoken,got. faúr-a-tan-i* 3
forge (V.),got. ga-smi-þ-æn* 1
forget,"got. *uf-ar-maud-jan, uf-ar-mun-n-æn* 3, uf-ar-mi-t-æn 1"
forgetfulness,got. uf-ar-maud-ei* 1
forgive,"got. af-lÐ-t-an 52, fra-gib-an 25, fra-lÐ-t-an 32"
forgiveness,"got. af-lag-ein-s* 1, af-lÐ-t* 3, fra-lÐ-t* 6=5"
forgo,got. ga-þarb-an 2
forgoing (Adj.),got. ga-þaúrb-s 1
form (N.),"got. *far-w-a 1, hi-wi* 1, *s-kau-n-ei"
-- visual form,got. siu-n-s (1) 11
-- the form of God,got. gu-d-a-skaun-ei* 1
-- equal in form,got. ibn-a-skaun-s* 1
-- of the same form,got. sam-a-leik-s* 2
-- of similar form,got. ibn-a-leik-s* 1
form (V.),"got. *frisah-t-jan?, ga-dig-an* 2=1, ga-frisah-t-jan* 1, tau-jan 211=209"
-- form from clay,got. ga-dig-an* 2=1
-- form out of clay,got. dig-an* 2
formed -- be formed,"got. *frisah-t-n-an?, ga-frisah-t-n-an* 1"
-- differently formed,got. al-ja-leik-æþ-s* 1
-- become formed,"got. *frisah-t-n-an?, ga-frisah-t-n-an* 1"
former,got. fru-m-a 18
formerly,"got. faúr-a 61, sim-l-Ð 9=8, sum-an 9"
fornicate,"got. ga-hær-in-æn* 1, *kalk-in-æn?"
fornication,"got. hæ-r-i-n-a-s-su-s 7, kalk-i-n-a-s-su-s 4"
fornicator,got. hæ-r-s 7
forswear,got. af-ai-k-an 13
forth,"got. fra-m 185=183, ðt 25"
-- forth from,got. us 340
fortify,"got. ga-tul-g-jan 10, tul-g-jan 3"
fortitude,got. þul-ain-s* 12
fortunate (Adj.),"got. au-da-haf-t-s* 1, au-d-ag-s 15"
-- deem fortunate,got. au-d-ag-jan* 1
fortune,"got. *au-d-s *auþs, au-j-a 4, *aw-i (2)"
forum,got. maþ-l* 1
forward,got. fra-m-waírþ-is 1
forwards,"got. fra-m 185=183, *fru-m-a-þ?"
fosse (N.),got. grab-a* 1
foul (Adj.),got. fð-l-s 1
-- foul language,"got. ag-l-ait-i-wáur-d-ei* 2, nai-t-ein-s* 3"
found (V.),"got. ga-sðl-jan* 3, *sðl-jan"
foundation,got. ga-sat-ein-s* 1
-- lay the foundation of,got. ga-sðl-jan* 3
foundation-wall,got. grundu-wa-dd-ju-s 5
fountain,got. bru-n-n-a 2
four,"got. fidur-, fidwær 12"
four thousand,got. fidwær-þðs-und-j-o-s
fourfold,got. fidur-fal-þ-s* 1
fourteen,got. fidwær-taí-hun 2
fowl,got. fu-gl-s* 6
fracture (V.),got. ga-brik-an* 8
fragment,"got. *bruk-a?, *bruk-j-a?, ga-bruk-a* 6"
fragmentariness,got. da-i-l-a* (1) 4
fragments,got. draúhsn-a* 4
fragrance,got. dau-n-s 7
Franconian,got. *Fragk-a?
frankly,got. bal-þ-a-ba 2
frankness,got. bal-þ-ei* 6
fraternal,got. *bræ-þr-ah-s?
fraudulence,got. hi-n-dar-wei-s-ei* 1
fraudulent,got. liut-s* 1
free (Adj.),got. frei-s 19
-- free of,got. lau-s-jan 7
-- let free,got. fra-lÐ-t-an 32
-- set free,got. ga-lau-s-jan 13
free (V.),"got. lau-s-jan 7, us-lau-s-jan* 5"
-- free from,"got. lau-s 10, lau-s-jan 7"
freed -- freed man,got. fra-lÐ-t-s 1
freedom,"got. frei-hal-s (2) 8, fri-j-ei 1"
-- having freedom,got. frei-s 19
freeing,got. us-lau-s-ein-s* 2
free-necked,got. *frei-hal-s (1)
freeze (V.),got. *fri-u-s-an?
freezing (weather),got. fri-u-s* 1
frequently,got. uf-t-a 15
fresh (Adj.),"got. *frisk-s?, niu-ji-s 26=25"
freshly -- freshly woven,got. þar-ih-s* 1
Friday,got. *parein-s-dag-s
friend,"got. fri-j-æn-d-s 13, *wi-n-s"
-- female friend,got. fri-j-æn-d-i* 1
friendly,got. qaír-r-u-s 2
fright (N.),got. faúrh-t-ei* 2
fright,got. ag-i-s 20
frighten,"got. af-ag-jan* 2, af-s-lau-þ-jan* 2, *ag-jan?, *gei-s-n-an?, æg-jan 1, þlahsjan* 1, us-gai-s-jan* 1"
-- frighten off,got. af-ag-jan* 2
-- frighten utterly,got. us-ag-jan* 1
frightened,got. us-fil-m-a* 2
-- be frightened,"got. faúrh-t-jan* 6, ga-þlahs-n-an* 1, *þlahs-n-an?"
-- become frightened,"got. faúrh-t-jan* 6, ga-þlahs-n-an* 1, *þlahs-n-an?"
fringe (N.),got. skau-t-s* 3
frolic (N.),got. laik-s* 1
frolic (V.),got. laik-an* 3
from,"got. af 135, at 170, bi 376=373, fra-m 185=183, us 340"
-- from above,"got. iup-a-na 1, iup-a-þræ 8"
-- from afar,got. faír-ra-þræ 9
-- from before,got. iup-a-na 1
-- from behind,"got. af-ta-na 1, *af-ta-r-æ 3"
-- from below,got. dal-aþ-ræ 1
-- from beneath,got. dal-aþ-ræ 1
-- from here,got. þa-þræ 11
-- from inside,got. in-n-a-na 2
-- from outside,got. ðt-a-þræ 2
-- from then on,got. þan-a-sei-þ-s 28
-- from there,got. þa-þræ-h 24
-- from where,got. þa-r-ei 35
-- from which,got. ¸a-þræ 15
-- from within,got. in-n-a-þræ 3
-- from without,got. ðt-a-þræ 2
front -- in front,"got. faúr 79=78, faúr-a 61"
-- in front of,got. faúr-a 61
-- bind up the front of,got. faúr-waip-jan* 1
-- towards the front,got. *fru-m-a-þ?
-- set in front of,got. faúr-lag-jan 3
frost (N.),got. fri-u-s* 1
froth (N.),"got. ¸aþ-æ* 1, *skð-m-s"
froth (V.),got. ¸aþ-jan* 2
frowningly -- confront frowningly,got. and-staúr-r-an* 1
fruit,got. ak-r-an 42
-- bear fruit,got. ga-wri-sq-an* 1
-- first fruit,got. uf-ar-skaf-t-s 1
-- granular fruit of the cereal grasses,got. kaúr-n* 4
-- without fruit,got. ak-r-an-a-lau-s 1
fruitless,got. ak-r-an-a-lau-s 1
frustrate,got. ga-mar-z-jan* 8
frustration,got. mar-z-ein-s 1
fulfill,"got. ful-l-jan* 3, us-ful-l-jan 34=33"
fulfilled -- be fulfilled,got. us-ful-l-n-an* 19
-- become fulfilled,got. us-ful-l-n-an* 19
fulfilling -- a fulfilling,got. ful-l-æ 10
-- person fulfilling everything,got. al-l-a-waúrst-w-a* 1
fulfillment,"got. *ful-l-ein-s?, ful-l-æ 10, us-ful-l-ein-s 4=3, us-taú-h-t-s 4"
-- bring to fulfillment,got. us-ful-l-jan 34=33
-- be brought to fulfillment,got. us-ful-l-n-an* 19
-- become brought to fulfillment,got. us-ful-l-n-an* 19
fulgurate,got. lauh-at-jan* 1
full (Adj.),"got. *al-l-and-ji-s?, ful-l-s 13, sa-þ-s* 12"
-- be full,"got. ful-l-n-an* 5, ga-ful-l-n-an* 4"
-- become full,"got. ful-l-n-an* 5, ga-ful-l-n-an* 4"
-- make full,got. ga-ful-l-jan* 5
full moon?,got. ful-l-eiþ-s* 2
fuller,got. wul-l-õrei-s 1
fullness,"got. *ful-l-ei?, ful-l-eiþ-s* 2, *ful-l-j-a?, ful-l-æ 10"
fully -- fully educated,got. ful-l-a-wei-s* 1
-- fully informed,got. ful-l-a-wei-s* 1
-- fully wise,got. ful-l-a-wei-s* 1
-- please fully,got. ful-l-a-fah-jan 3
fun -- poke fun at,got. bi-laik-an* 6
function -- function as a soldier in,got. driu-g-an* 1
functioning,got. waúr-st-w-eig-s* 5
furious,got. *grim-m-s?
-- become furious,got. *grim-m-an?
furnish (V.),got. and-stal-d-an* 4
-- furnish with a flaw,got. an-a-wam-m-jan* 1
furnishment,got. and-stal-d* 2
furrow (N.),got. *faurh-s
furrowed -- become furrowed,got. *snaír-p-an?
further,"got. fra-m-is 2, fra-m-waírþ-is 1, þan-a-ma-i-s 10=9"
furtherance,got. fra-m-gõ-h-t-s* 1
furthermore,"got. auk 286=285, þan 595=593"
fury,got. *grim-m-iþ-a?
futile,got. halk-s* 2
futilely,got. swarÐ 16
future (Adj.),"got. an-a-waír-þ-s* 11, *fra-m-wair-þ-s?"
future (N.) -- foretell the future,got. faur-a-qiþ-an* 9=8
g,got. g 2
gable,got. gibl-a* 1
gain (N.),got. ga-waúrk-i 5
gain (V.),"got. faír-waúrk-jan* 1, ga-geig-an* 7, þei-h-an 7"
-- gain complete possession of,got. dis-hab-an* 4
-- gain hold of,got. ga-niut-an* 2
-- gain of money,got. faíh-u-ga-waúrk-i 1
-- gain riches,got. faíh-u-geig-an* 1
-- gain the prize,got. ga-jiuk-an* 4
gainsay,got. and-sak-an* 1
gallows,got. galg-a 18
gangrene,got. gund 1
garden,"got. aúrti-gard-s 2, *aúrt-s?, bigard-io*, *gar-d-i?"
garland (N.),got. waip-s 5
garment,got. was-t-i* 32
-- outer garment,got. snag-a* 5
-- purple garment,got. paúrpur-a* 3
garniture,"got. *fÐt-ein-s?, ga-fÐt-ein-s* 1"
gate,"got. daúr 15, *daúr-i?"
-- double gate,got. daúr-æ* 4
gatekeeper,got. daúr-a-ward-s 3
gates,got. daúr-æ* 4
gateway,got. daúr 15
gather,"got. ga-ga-g-g-an* 7, ga-qi-m-an* 13, ga-ri-n-n-an* 7, hu-z-d-jan 3, lis-an* 4"
-- gather around,got. bi-ri-n-n-an* 2
-- gather together,got. ga-lis-an* 10
gathering -- gathering of money,got. faíh-u-þrai-h-n* 4
-- religious gathering,got. ga-qu-m-þ-s* 8
gauge,got. mi-t-an* 4
gaze (N.),got. and-aug-i* 2
-- gaze inquisitively,got. faír-wei-t-jan 6
-- gaze inquisitively at,got. *faír-wei-t-an?
genealogy,got. ga-baúr-þ-i-waur-d* 1
general (Adv.) -- in general,got. al-l-is 27
general (N.) -- general of an army,got. *draú-h-t-in-s?
generate,"got. gans-jan* 2=1, us-sat-jan* 8"
generation,"got. al-d-s* 12, *kan-n-a?, kun-i 17"
generosity,got. þiu-þ-ein-s* 4
gentiles,got. þiu-d-a 54
-- in the manner of the gentiles,got. þiu-d-isk-æ 1
gentle,"got. *lind-, *mðk-s?, qaír-r-u-s 2, sðt-i-s 8"
gentleness,"got. mðk-a-mæ-d-ei* 1, qaír-r-ei 7"
genuine,"got. aírkn-s* 1, pistik-ein-s* 1, s-un-j-ein-s 15, wa-l-is-a* 5"
genuine-heartedness,got. ai-n-fal-þ-ei* 6
genuineness,got. aírkn-iþ-a* 2=1
germanic -- germanic mile,got. ra-s-t-a* 1
germinate,got. kei-n-an* 1
get (V.),got. *git-an
get,"got. ga-stal-d-an 5, ga-waúrk-jan 24, in-nim-an* 1, nim-an 105, waír-þ-an"
472=470,
-- get away,got. unþa-þlí-u-h-an* 2
-- get by lot,got. *hliu-t-an?
-- get divorced,"got. ga-skai-d-n-an* 1, *skai-d-n-an?"
-- get dressed,"got. an-a-ham-æn 1, ga-ham-æn 10"
-- get drunk,got. an-a-dri-g-k-an* 1
