English,Gothic
archangel,got. ark-agg-il-u-s* 1
arching,got. *¸ilf-tr-i
archtype,got. fri-sah-t-s 12
arduously,got. ag-l-u-ba 2
arduousness,got. arbai-þ-s 14
area -- area before the town gates,got. faúr-a-daúr-i* 1
-- ante-portal area,got. faúr-a-daúr-i* 1
-- door-front area,got. faúr-a-daúr-i* 1
-- mountainous area,got. baír-g-ah-ei* 2
-- potholed area,got. us-dru-s-t-s* 1
-- rural area,got. weihs* (2) 11
-- uneven area,got. us-dru-s-t-s* 1
argue,"got. mi-t-æn* 11, *tah-an-jan?"
-- argue for,got. *rÐ-d-an
-- argue with,got. mi-þ-sæk-jan 1
argument (N.),"got. and-a-haf-t-s 3, sak-j-æ* 1"
-- argument about words,got. waúr-d-a-jiuk-a* 1
-- derive from argument,got. ur-rÐ-d-an* 1
-- explain the argument of,got. us-sak-an* 1
-- propound an argument,got. in-sak-an* 5
argumentation,got. in-sah-t-s 6
-- add by argumentation,got. an-a-in-sak-an* 1
-- bestow by argumentation,got. an-a-in-sak-an* 1
-- impart through argumentation,got. an-a-in-sak-an* 1
-- impose through argumentation,got. an-a-in-sak-an* 1
aright -- setting aright,got. ga-raíh-t-ein-s* 1
arise,"got. kumei 1, ur-rei-s-an 58, us-sta-n-d-an 41, waír-þ-an 472=470"
-- arise together with,got. mi-þ-ur-rei-s-an* 2
arising (N.),got. ur-ri-s-t-s* 1
ark -- the ark of Noah,got. ark-a 3
arm,got. ar-m-s (2) 4
-- arms,got. sar-w-a* 3
armament,got. sar-w-a* 3
armed -- armed conflict,"got. wig-an (1) 1?, *wig-s (2)?"
-- armed host,got. har-ji-s 2
